origin,destination,A_horizontal_m,B_horizontal_m,shorter_by_m,status,A_within_400,B_within_400,A_within_800,B_within_800,A_within_1600,B_within_1600
N1,S1,,,,unresolved_in_source,False,False,False,False,False,False
N1,S2,,,,unresolved_in_source,False,False,False,False,False,False
N1,S3,,,,unresolved_in_source,False,False,False,False,False,False
N1,S4,,,,unresolved_in_source,False,False,False,False,False,False
N1,S5,,,,unresolved_in_source,False,False,False,False,False,False
N1,S6,,,,unresolved_in_source,False,False,False,False,False,False
N1,S7,,,,unresolved_in_source,False,False,False,False,False,False
N1,S8,,,,unresolved_in_source,False,False,False,False,False,False
N2,S1,,,,unresolved_in_source,False,False,False,False,False,False
N2,S2,,,,unresolved_in_source,False,False,False,False,False,False
N2,S3,,,,unresolved_in_source,False,False,False,False,False,False
N2,S4,,,,unresolved_in_source,False,False,False,False,False,False
N2,S5,,,,unresolved_in_source,False,False,False,False,False,False
N2,S6,,,,unresolved_in_source,False,False,False,False,False,False
N2,S7,,,,unresolved_in_source,False,False,False,False,False,False
N2,S8,,,,unresolved_in_source,False,False,False,False,False,False
N3,S1,542.41,542.41,0.0,both_connected,False,False,True,True,True,True
N3,S2,415.49,415.49,0.0,both_connected,False,False,True,True,True,True
N3,S3,243.5,243.5,0.0,both_connected,True,True,True,True,True,True
N3,S4,294.68,294.68,0.0,both_connected,True,True,True,True,True,True
N3,S5,506.72,506.72,0.0,both_connected,False,False,True,True,True,True
N3,S6,654.26,654.26,0.0,both_connected,False,False,True,True,True,True
N3,S7,585.92,585.92,0.0,both_connected,False,False,True,True,True,True
N3,S8,778.88,778.88,0.0,both_connected,False,False,True,True,True,True
N4,S1,,,,unresolved_in_source,False,False,False,False,False,False
N4,S2,,,,unresolved_in_source,False,False,False,False,False,False
N4,S3,,,,unresolved_in_source,False,False,False,False,False,False
N4,S4,,,,unresolved_in_source,False,False,False,False,False,False
N4,S5,,,,unresolved_in_source,False,False,False,False,False,False
N4,S6,,,,unresolved_in_source,False,False,False,False,False,False
N4,S7,,,,unresolved_in_source,False,False,False,False,False,False
N4,S8,,,,unresolved_in_source,False,False,False,False,False,False
N5,S1,,,,unresolved_in_source,False,False,False,False,False,False
N5,S2,,,,unresolved_in_source,False,False,False,False,False,False
N5,S3,,,,unresolved_in_source,False,False,False,False,False,False
N5,S4,,,,unresolved_in_source,False,False,False,False,False,False
N5,S5,,,,unresolved_in_source,False,False,False,False,False,False
N5,S6,,,,unresolved_in_source,False,False,False,False,False,False
N5,S7,,,,unresolved_in_source,False,False,False,False,False,False
N5,S8,,,,unresolved_in_source,False,False,False,False,False,False
N6,S1,,,,unresolved_in_source,False,False,False,False,False,False
N6,S2,,,,unresolved_in_source,False,False,False,False,False,False
N6,S3,,,,unresolved_in_source,False,False,False,False,False,False
N6,S4,,,,unresolved_in_source,False,False,False,False,False,False
N6,S5,,,,unresolved_in_source,False,False,False,False,False,False
N6,S6,,,,unresolved_in_source,False,False,False,False,False,False
N6,S7,,,,unresolved_in_source,False,False,False,False,False,False
N6,S8,,,,unresolved_in_source,False,False,False,False,False,False
N7,S1,,,,unresolved_in_source,False,False,False,False,False,False
N7,S2,,,,unresolved_in_source,False,False,False,False,False,False
N7,S3,,,,unresolved_in_source,False,False,False,False,False,False
N7,S4,,,,unresolved_in_source,False,False,False,False,False,False
N7,S5,,,,unresolved_in_source,False,False,False,False,False,False
N7,S6,,,,unresolved_in_source,False,False,False,False,False,False
N7,S7,,,,unresolved_in_source,False,False,False,False,False,False
N7,S8,,,,unresolved_in_source,False,False,False,False,False,False
N8,S1,1072.47,1005.05,67.42,both_connected,False,False,False,False,True,True
N8,S2,945.56,878.14,67.42,both_connected,False,False,False,False,True,True
N8,S3,745.43,678.01,67.42,both_connected,False,False,True,True,True,True
N8,S4,741.81,674.39,67.42,both_connected,False,False,True,True,True,True
N8,S5,910.01,761.58,148.43,both_connected,False,False,False,True,True,True
N8,S6,531.8,383.38,148.43,both_connected,False,True,True,True,True,True
N8,S7,463.47,315.04,148.43,both_connected,False,True,True,True,True,True
N8,S8,656.43,483.85,172.58,both_connected,False,False,True,True,True,True
